473	402	418	123
467	420	418	117
470	424	418	114
472	424	417	113
472	426	417	110
474	429	417	109
475	429	418	108
476	430	418	108
477	430	419	108
479	428	419	108
479	429	418	108
481	430	417	107
482	430	417	107
484	428	418	106
481	431	418	105
483	431	418	105
484	432	418	105
485	430	419	104
487	428	417	106
488	429	416	107
490	429	416	108
493	428	416	108
492	428	416	106
494	427	417	107
494	429	416	107
497	430	417	107
498	427	417	109
500	425	417	110
498	427	418	108
500	428	418	108
503	427	418	107
504	429	417	106
506	428	417	106
507	429	417	106
509	427	417	107
510	426	417	106
511	425	416	105
513	424	416	106
514	426	416	105
516	423	416	106
517	425	416	106
519	425	416	106
521	425	416	106
522	426	416	106
525	423	416	107
525	425	415	107
527	425	415	108
531	420	414	109
531	421	414	107
534	420	413	108
535	422	412	107
537	423	414	108
539	422	414	108
540	423	414	108
541	419	413	111
543	416	412	113
544	417	411	113
547	418	411	112
549	415	411	113
551	414	411	113
551	413	410	114
554	417	410	111
557	418	409	110
558	419	409	108
560	418	410	110
563	417	410	111
563	417	411	111
567	419	411	109
568	420	411	110
570	416	411	111
573	417	410	111
575	415	411	111
579	418	410	110
580	418	411	108
582	416	411	108
585	418	410	107
587	416	410	108
590	418	409	108
592	417	409	108
595	416	409	108
596	417	410	108
599	415	410	110
601	417	410	109
604	417	409	107
608	416	408	108
611	416	408	108
613	416	408	107
615	419	407	106
616	417	407	104
620	417	406	104
624	420	405	103
626	419	405	102
628	419	407	101
630	421	406	100
631	422	406	99
633	417	404	100
639	419	403	102
639	422	404	100
640	419	404	99
645	422	405	98
646	422	404	98
647	420	403	98
651	419	403	97
653	422	404	95
654	421	403	96
656	418	403	98
659	420	404	97
660	419	402	97
662	420	401	96
665	422	402	95
666	419	400	95
669	421	401	93
671	418	400	94
673	422	401	93
675	418	399	94
677	421	399	94
678	419	399	94
681	417	399	95
683	420	400	94
683	418	399	94
686	417	397	94
689	419	399	94
689	418	398	94
692	417	398	94
692	416	398	94
693	418	399	94
694	417	398	94
697	418	396	94
698	418	396	95
